Timestamp,M6,M6_D,M1,M1_D,M15,M15_D,M2,M2_D,M3,M3_D,M13,M13_D,M4,M4_D,M7,M7_D
2021-03-19 04:00:00,23.07500029,0.07500029,24.125,-0.17499924,20.60000038,0.07500028,22.60000038,0,24.10000038,0,20.20000076,0.07500028,24.05000019,0.05000019,22.29999924,-0.02500009
2021-03-19 05:00:00,23.10000038,0.02500009,24,-0.125,20.5250001,-0.07500028,22.60000038,0,24.10000038,0,20.20000029,-4.7E-07,24.10000038,0.05000019,22.29999924,0
2021-03-19 06:00:00,23.15000057,0.05000019,24.15000057,0.15000057,20.82499981,0.29999971,22.67500067,0.07500029,24.10000038,0,19.80000019,-0.4000001,24.15000057,0.05000019,22.29999924,0
2021-03-19 07:00:00,23,-0.15000057,24.37499952,0.22499895,21.20000029,0.37500048,22.67500067,0,24.10000038,0,20.10000038,0.30000019,24.10000038,-0.05000019,22.37499952,0.07500028
2021-03-19 08:00:00,22.84999943,-0.15000057,24.32499981,-0.04999971,21.17500067,-0.02499962,22.60000038,-0.07500029,24.05000019,-0.05000019,20.31999931,0.21999893,24.10000038,0,22.32499933,-0.05000019
2021-03-19 09:00:00,22.89999962,0.05000019,24.20000076,-0.12499905,21.1666673,-0.00833337,22.6666673,0.06666692,24,-0.05000019,20.56666692,0.24666761,24.1666673,0.06666692,22.29999924,-0.02500009
2021-03-19 10:00:00,22.79999924,-0.10000038,24.20000029,-4.7E-07,21.29999924,0.13333194,22.70000076,0.03333346,24,0,20.72500038,0.15833346,24.20000076,0.03333346,22.29999924,0
2021-03-19 11:00:00,22.79999924,0,24.29999971,0.09999942,21.42499971,0.12500047,22.60000038,-0.10000038,24,0,20.87499952,0.14999914,24.20000076,0,22.29999924,0
2021-03-19 12:00:00,22.72500038,-0.07499886,24.26666641,-0.0333333,21.7249999,0.30000019,22.60000038,0,23.7249999,-0.2750001,21,0.12500048,24.12500048,-0.07500028,22.29999924,0
2021-03-19 13:00:00,22.70000076,-0.02499962,24.10000038,-0.16666603,21.62500048,-0.09999942,22.60000038,0,23.89999962,0.17499972,21.05000019,0.05000019,24.10000038,-0.0250001,22.25,-0.04999924
2021-03-19 14:00:00,22.7750001,0.07499934,24.30000019,0.19999981,21.5250001,-0.10000038,22.60000038,0,23.89999962,0,21.12500048,0.07500029,24.10000038,0,22.25,0
2021-03-19 15:00:00,22.92499971,0.14999961,24.12500048,-0.17499971,21.57500029,0.05000019,22.60000038,0,23.89999962,0,21.20000076,0.07500028,24.10000038,0,22.20000076,-0.04999924
2021-03-19 16:00:00,22.75,-0.17499971,24,-0.12500048,21.5250001,-0.05000019,22.60000038,0,23.89999962,0,21.22500038,0.02499962,24.10000038,0,22.37499952,0.17499876
2021-03-19 17:00:00,22.89999962,0.14999962,23.8499999,-0.1500001,21.57500029,0.05000019,22.66000061,0.06000023,23.89999962,0,21.125,-0.10000038,24.10000038,0,22.60000038,0.22500086
2021-03-19 18:00:00,22.89999962,0,24.32499933,0.47499943,21.84999943,0.27499914,22.70000076,0.04000015,23.84999943,-0.05000019,19.82499981,-1.30000019,24.17500067,0.07500029,22.9749999,0.37499952
2021-03-19 19:00:00,22.89999962,0,24.39999962,0.07500029,21.65000057,-0.19999886,22.79999924,0.09999848,23.84999943,0,19.64999962,-0.17500019,24.20000076,0.02500009,22.7249999,-0.25
2021-03-19 20:00:00,23,0.10000038,24.39999962,0,21.87499952,0.22499895,22.79999924,0,23.87499952,0.02500009,20.32499933,0.67499971,24.20000076,0,22.89999962,0.17499972
2021-03-19 21:00:00,23,0,24.34999943,-0.05000019,22.10000038,0.22500086,22.79999924,0,23.79999924,-0.07500028,20.25,-0.07499933,24.20000076,0,22.85999947,-0.04000015
2021-03-19 22:00:00,23.05000019,0.05000019,24.39999962,0.05000019,22.20000076,0.10000038,22.79999924,0,23.79999924,0,19.82499981,-0.42500019,24.17500067,-0.02500009,22.89999962,0.04000015
2021-03-19 23:00:00,23.20000076,0.15000057,24.44999981,0.05000019,21.625,-0.57500076,22.79999924,0,23.79999924,0,19.75,-0.07499981,24.17500067,0,22.94999981,0.05000019
2021-03-20 00:00:00,23.20000076,0,24.5,0.05000019,21.5250001,-0.0999999,22.85999947,0.06000023,23.84999943,0.05000019,19.80000019,0.05000019,24.20000076,0.02500009,23,0.05000019
2021-03-20 01:00:00,23.20000076,0,24.39999962,-0.10000038,21.44999981,-0.07500029,22.89999962,0.04000015,23.89999962,0.05000019,20.07500029,0.2750001,24.20000076,0,23,0
2021-03-20 02:00:00,23.20000076,0,24.34999943,-0.05000019,21.32499933,-0.12500048,22.89999962,0,23.89999962,0,20.10000038,0.02500009,24.20000076,0,22.7249999,-0.2750001
2021-03-20 03:00:00,23.29999924,0.09999848,24.29999924,-0.05000019,21.34999943,0.0250001,22.94999981,0.05000019,23.89999962,0,20.10000038,0,24.20000076,0,22.89999962,0.17499972
2021-03-20 04:00:00,23.29999924,0,24.37499952,0.07500028,21.34999943,0,23,0.05000019,23.89999962,0,20.10000038,0,24.20000076,0,22.89999962,0
2021-03-20 05:00:00,23.29999924,0,24.42499971,0.05000019,21.29999924,-0.05000019,23,0,23.89999962,0,19.75,-0.35000038,24.20000076,0,22.89999962,0
2021-03-20 06:00:00,23.27499962,-0.02499962,24.5,0.07500029,21.29999924,0,23,0,23.89999962,0,20.2249999,0.4749999,24.20000076,0,22.89999962,0
2021-03-20 07:00:00,23.1666673,-0.10833232,24.39999962,-0.10000038,21.29999924,0,23.06666692,0.06666692,23.89999962,0,20.3333327,0.1083328,24.27499962,0.07499886,22.89999962,0
2021-03-20 08:00:00,23.10000038,-0.06666692,24.46666654,0.06666692,21.29999924,0,23.03333346,-0.03333346,23.89999962,0,20.39999962,0.06666692,24.3333327,0.05833308,22.89999962,0
2021-03-20 09:00:00,23.10000038,0,24.39999962,-0.06666692,21.34999943,0.05000019,23.10000038,0.06666692,23.79999924,-0.10000038,20.55000019,0.15000057,23.7750001,-0.5583326,22.69999981,-0.19999981
2021-03-20 10:00:00,23.10000038,0,24.37499952,-0.0250001,21.46666654,0.11666711,23.07500029,-0.02500009,23.79999924,0,20.65000057,0.10000038,23.89999962,0.12499952,22.77499962,0.07499981
2021-03-20 11:00:00,23.0250001,-0.07500028,24.27499962,-0.0999999,21.60000038,0.13333384,22.75,-0.32500029,23.79999924,0,20.79999971,0.14999914,23.89999962,0,23,0.22500038
2021-03-20 12:00:00,22.69999981,-0.32500029,24.22500038,-0.04999924,21.57500029,-0.02500009,22.87499952,0.12499952,23.79999924,0,20.89999962,0.09999991,23.87499952,-0.0250001,23,0
